time|TEMP|VPV1|IPV1|ETODAY|IAC|VAC|FAC|PAC|ETOTAL|HTOTAL|MODE|unknown76|unknown77|ERR_GV|ERR_GF|ERR_TEMP|ERR_PV1|ERR_GFC1|ERR_MODE|unknown7f
1395726239|19.1|308.7|0|0|0|233.2|49.98|0|3271.9|4085|0|0|0|0|0|0|0|0|0|0
1395726297|18.7|312.1|0|0|0|232.8|49.96|0|3271.9|4085|0|0|0|0|0|0|0|0|0|0
1395726357|18.9|314.2|0|0|0|233.2|49.97|0|3271.9|4085|0|0|0|0|0|0|0|0|0|0
1395726417|18.7|316.9|0|0|0|233|49.98|0|3271.9|4085|0|0|0|0|0|0|0|0|0|0
1395726477|18.7|318.8|0|0|0|233.1|49.97|0|3271.9|4085|0|0|0|0|0|0|0|0|0|0
1395726537|18.9|320.3|0|0|0|233|49.98|0|3271.9|4085|0|0|0|0|0|0|0|0|0|0
1395726597|18.7|322.3|0|0|0|232.3|49.98|0|3271.9|4085|0|0|0|0|0|0|0|0|0|0
1395726657|19.3|294|0|0|0.5|233.8|49.98|22|3271.9|4085|1|0|0|0|0|0|0|0|0|0
1395726717|18.9|325.3|0|0|0|233|49.97|0|3271.9|4085|0|0|0|0|0|0|0|0|0|0
1395726777|18.9|326.6|0|0|0|233.3|49.96|0|3271.9|4085|0|0|0|0|0|0|0|0|0|0
1395726837|18.9|249.2|0|0|0.5|234|49.97|31|3271.9|4085|1|0|0|0|0|0|0|0|0|0
1395726897|19.1|231.1|0.1|0|0.5|234|49.98|32|3271.9|4085|1|0|0|0|0|0|0|0|0|0
1395726957|19.3|211.6|0.1|0|0.5|234|49.99|33|3271.9|4085|1|0|0|0|0|0|0|0|0|0
1395727017|19.1|199.7|0.1|0|0.5|233.5|49.99|34|3271.9|4085|1|0|0|0|0|0|0|0|0|0
1395727077|19.1|179.6|0.1|0|0.5|234.5|50|32|3271.9|4085|1|0|0|0|0|0|0|0|0|0
1395727137|19.8|315.3|0|0|0.5|232|50.04|34|3271.9|4085|1|0|0|0|0|0|0|0|0|0
1395727197|19.3|299.1|0|0|0.5|231.9|50.05|45|3271.9|4085|1|0|0|0|0|0|0|0|0|0
1395727257|19.6|275.8|0.1|0|0.5|231.9|50.09|50|3271.9|4085|1|0|0|0|0|0|0|0|0|0
1395727317|19.6|260.6|0.1|0|0.5|232.2|50.08|53|3271.9|4086|1|0|0|0|0|0|0|0|0|0
1395727377|19.3|241|0.2|0|0.5|232|50.05|57|3271.9|4086|1|0|0|0|0|0|0|0|0|0
1395727437|19.6|238|0.2|0|0.5|232.2|50.04|54|3271.9|4086|1|0|0|0|0|0|0|0|0|0
